web_scraper_order,web_scraper_start_url,title,data,data2,name,data3,data4,data5,title2,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,price,data17,title3,data18,data19,data20,data21,data22,data23,image
"1780573743-31","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Embroidered Kashmiri Pashmina Shawl: Handcrafted Wool Wrap","By Shawsans","From shop Shawsans","Shawsans","","Sale Price ₹ 6,456","6,456","4.7","12,912","Original Price ₹ 12,912","(50% off)","(143)","More like this","Add to cart","Made by Shawsans","Shop owned by Muhammad","Shawsans","1 year on Etsy","Muhammad","","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/59740729/c/1739/1739/130/828/il/46ce30/6968982390/il_765x1020.6968982390_163e.jpg"
"1780573743-32","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Navy Blue Embroidered Pure Pashmina Shawl | Authentic Kashmiri Floral Wrap | Cashmere Sozni Embroidery Scarf","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","85,224","","","5.0","","","","(3)","More like this","Add to cart","Made by BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","","₹","","","","https://i.etsystatic.com/60706692/r/il/6c61b7/8002531159/il_765x1020.8002531159_46tc.jpg"
"1780573743-33","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Handwoven Pure Pashmina Shawl | Authentic 100% Kashmiri Pashmina | Soft Lightweight Wrap | Large 100x200 cm","By KashCraftsUK","From shop KashCraftsUK","KashCraftsUK","","Sale Price ₹ 24,507","24,507","5.0","37,704","Original Price ₹ 37,704","(35% off)","(3)","More like this","Add to cart","By KashCraftsUK","Shop owned by Kash","KashCraftsUK","4 months on Etsy","Kash","","","","Add to Favourites","","","₹","","₹","https://i.etsystatic.com/53243098/r/il/91a893/7753720813/il_765x1020.7753720813_f3k6.jpg"
"1780573743-34","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Exquisite Navy Blue & White Embroidered Pashmina Shawl","By TRENDINGWAVESCRAFT","From shop TRENDINGWAVESCRAFT","TRENDINGWAVESCRAFT","","Sale Price ₹ 6,160","6,160","4.2","12,320","Original Price ₹ 12,320","(50% off)","(5)","More like this","Add to cart","By TRENDINGWAVESCRAFT","Shop owned by Trending","TRENDINGWAVESCRAFT","6 months on Etsy","Trending","Free delivery","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/63337261/r/il/f85ae9/8092067352/il_765x1020.8092067352_7809.jpg"
"1780573743-35","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Pashmina Kashmiri Embroidered Shawl","By VoguebyFJ","From shop VoguebyFJ","VoguebyFJ","13,022","","","4.4","","","","(23)","More like this","Add to cart","Made by VoguebyFJ","11 months on Etsy","VoguebyFJ","","","Free delivery","","","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/59881000/r/il/45e9fc/7423191871/il_765x1020.7423191871_dt9r.jpg"
"1780573743-36","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Fine Quality Large Kashmiri Pashmina Kani Weave Shawl/ Winter Wrap (40x80 inches)","By JKSowling","From shop JKSowling","JKSowling","","Sale Price ₹ 10,341","10,341","4.8","12,926","Original Price ₹ 12,926","(20% off)","(859)","More like this","Add to cart","By JKSowling","Shop owned by Lim","JKSowling","5 years on Etsy","Lim","","","","Add to Favourites","","","₹","","₹","https://i.etsystatic.com/26145373/r/il/74e54b/7996697059/il_765x1020.7996697059_ec0y.jpg"
"1780573743-37","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Embroidered Pashmina Shawl for Women, Floral Jaal Embroidery Wrap","By TRENDINGWAVESCRAFT","From shop TRENDINGWAVESCRAFT","TRENDINGWAVESCRAFT","","Sale Price ₹ 6,160","6,160","4.2","12,320","Original Price ₹ 12,320","(50% off)","(5)","More like this","Add to cart","By TRENDINGWAVESCRAFT","Shop owned by Trending","TRENDINGWAVESCRAFT","6 months on Etsy","Trending","Free delivery","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/63337261/r/il/f8991f/8081253924/il_765x1020.8081253924_acft.jpg"
"1780573743-38","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Handmade Kashmiri Pashmina Shawl: Sozni Embroidery, Soft Toosh","By SaniaLoom","From shop SaniaLoom","SaniaLoom","","Sale Price ₹ 28,474","28,474","1.0","37,965","Original Price ₹ 37,965","(25% off)","(1)","More like this","Add to cart","Made by SaniaLoom","Shop owned by Waqas","SaniaLoom","1 year on Etsy","Waqas","Free delivery","","","Add to Favourites","","","₹","","₹","https://i.etsystatic.com/57980406/r/il/55246d/7202644271/il_765x1020.7202644271_ejw2.jpg"
"1780573743-39","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Purple Kashmiri Pashmina Shawl | Handmade Kani Work with Border Embroidery | Wool Winter Wrap","By TimelessVaultByTalha","From shop TimelessVaultByTalha","TimelessVaultByTalha","12,498","","","5.0","","","","(19)","More like this","Add to cart","By TimelessVaultByTalha","Shop owned by Talha","TimelessVaultByTalha","8 months on Etsy","Talha","Free delivery","","","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/57477002/r/il/d8c838/7615618267/il_765x1020.7615618267_hkev.jpg"
"1780573743-40","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Large Beige Kani Weave Kashmiri Pashmina wool Shawl: Winter Wrap (40x80 inches)","By JKSowling","From shop JKSowling","JKSowling","","Sale Price ₹ 10,341","10,341","4.8","12,926","Original Price ₹ 12,926","(20% off)","(859)","More like this","Add to cart","Made by JKSowling","Shop owned by Lim","JKSowling","5 years on Etsy","Lim","","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/26145373/r/il/f15ead/7640343020/il_765x1020.7640343020_498d.jpg"
"1780573743-41","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Large Beige Kani Embroidered Zari Pashmina Wool Shawl, Winter Wrap (40X80 inches)","By JKSowling","From shop JKSowling","JKSowling","","Sale Price ₹ 8,552","8,552","4.8","10,691","Original Price ₹ 10,691","(20% off)","(859)","More like this","Add to cart","By JKSowling","Shop owned by Lim","JKSowling","5 years on Etsy","Lim","","","Limited stock","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/26145373/r/il/4a3261/7912630528/il_765x1020.7912630528_svgn.jpg"
"1780573743-42","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Large Beige Kashmiri Pashmina Kani Weave Shawl: Lightweight Winter Wrap","By JKSowling","From shop JKSowling","JKSowling","","Sale Price ₹ 8,832","8,832","4.8","11,041","Original Price ₹ 11,041","(20% off)","(859)","More like this","Add to cart","By JKSowling","Shop owned by Lim","JKSowling","5 years on Etsy","Lim","","","Limited stock","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/26145373/r/il/bc72d1/7807471273/il_765x1020.7807471273_jxfz.jpg"
"1780573743-43","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Bottle Green Pure Pashmina Kani Weave Kashmiri Shawl","By KaashCollection","From shop KaashCollection","KaashCollection","17,028","","","4.8","","","","(2.2k)","More like this","Add to cart","Made by KaashCollection","6 years on Etsy","KaashCollection","","","","","","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/22456625/c/1271/1271/483/14/il/d46788/7193169731/il_765x1020.7193169731_41om.jpg"
"1780573743-44","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Embroidered Pashmina Shawl: Large Aari Needlework Wool Wrap","By JKSowling","From shop JKSowling","JKSowling","","Sale Price ₹ 17,343","17,343","4.8","21,679","Original Price ₹ 21,679","(20% off)","(859)","More like this","Add to cart","By JKSowling","Shop owned by Lim","JKSowling","5 years on Etsy","Lim","","","Limited stock","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/26145373/r/il/b6a182/7197644937/il_765x1020.7197644937_sq6x.jpg"
"1780573743-45","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Hand-Embroidered Kashmiri Jamawar Pashmina Shawl – Pure Changthangi Cashmere Heirloom Wrap HandEmbroidery, Formal Evening","By Indusweavers","From shop indusweavers","Indusweavers","","Sale Price ₹ 233,005","233,005","5.0","291,256","Original Price ₹ 291,256","(20% off)","(8)","More like this","Add to cart","By indusweavers","3 years on Etsy","indusweavers","","","Free delivery","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/36297693/r/il/18e2f1/6953680078/il_765x1020.6953680078_s7vo.jpg"
"1780573743-46","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Luxury Sage Green Embroidered Pashmina Shawl : Kashmiri Floral Wrap","By TRENDINGWAVESCRAFT","From shop TRENDINGWAVESCRAFT","TRENDINGWAVESCRAFT","","Sale Price ₹ 6,210","6,210","4.2","12,420","Original Price ₹ 12,420","(50% off)","(5)","More like this","Add to cart","Made by TRENDINGWAVESCRAFT","Shop owned by Trending","TRENDINGWAVESCRAFT","6 months on Etsy","Trending","Free delivery","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/63337261/r/il/895797/7952164449/il_765x1020.7952164449_g2fu.jpg"
"1780573743-47","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Authentic Pashmina Shawl with Traditional Paisley Design - Luxury Kashmiri Wrap","By TRENDINGWAVESCRAFT","From shop TRENDINGWAVESCRAFT","TRENDINGWAVESCRAFT","","Sale Price ₹ 6,160","6,160","4.2","12,320","Original Price ₹ 12,320","(50% off)","(5)","More like this","Add to cart","Made by TRENDINGWAVESCRAFT","Shop owned by Trending","TRENDINGWAVESCRAFT","6 months on Etsy","Trending","Free delivery","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/63337261/r/il/a2b3e5/7968325364/il_765x1020.7968325364_bvyf.jpg"
"1780573743-48","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Exclusive Large Grey Kashmiri Pashmina Kani Weave Wool Blend Shawl, Wrap (40 x 80 Inches)","By JKSowling","From shop JKSowling","JKSowling","","Sale Price ₹ 8,186","8,186","4.8","10,233","Original Price ₹ 10,233","(20% off)","(859)","More like this","Add to cart","By JKSowling","Shop owned by Lim","JKSowling","5 years on Etsy","Lim","","","","Add to Favourites","","","₹","","₹","https://i.etsystatic.com/26145373/c/877/877/0/425/il/51dca4/7744662153/il_765x1020.7744662153_6tjq.jpg"
"1780573743-49","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Handloom Pashmina Blend Shawl - Heavy Ethnic Aari Embroidery | Luxury Wedding Stole, Kashmiri Floral Winter Scarf, Artisan Evening Wrap","By Pashnova","From shop Pashnova","Pashnova","","Sale Price ₹ 7,781","7,781","","15,564","Original Price ₹ 15,564","(50% off)","","More like this","Add to cart","By Pashnova","Shop owned by Kapil","Pashnova","1 month on Etsy","Kapil","Free delivery","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/63643557/r/il/eb2e75/8108563215/il_765x1020.8108563215_hedk.jpg"
"1780573743-50","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Kashmiri Pashmina Shawl Aari Embroidered Woman Scarf, Christmas Gift","By ShawsanShop","From shop ShawsanShop","ShawsanShop","","Sale Price ₹ 6,508","6,508","4.9","13,017","Original Price ₹ 13,017","(50% off)","(55)","More like this","Add to cart","Made by ShawsanShop","Shop owned by Zainab","ShawsanShop","9 months on Etsy","Zainab","","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/61780180/c/1023/1023/0/257/il/5e8776/8007459258/il_765x1020.8007459258_9wgc.jpg"
"1780573743-51","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Paper mache embroidery pure Pashmina shawl (40x80) inches","By TooshPashminashawl","From shop TooshPashminashawl","TooshPashminashawl","","Sale Price ₹ 25,922","25,922","4.7","47,131","Original Price ₹ 47,131","(45% off)","(17)","More like this","Add to cart","By TooshPashminashawl","Shop owned by sitara","TooshPashminashawl","2.5 years on Etsy","sitara","Free delivery","","","Add to Favourites","","","₹","","₹","https://i.etsystatic.com/25734426/r/il/7850fa/7247048354/il_765x1020.7247048354_lztg.jpg"
"1780573743-52","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Embroidered Forest Green Pashmina Shawl - Kashmiri Floral Wool Wrap","By TRENDINGWAVESCRAFT","From shop TRENDINGWAVESCRAFT","TRENDINGWAVESCRAFT","","Sale Price ₹ 6,160","6,160","4.2","12,320","Original Price ₹ 12,320","(50% off)","(5)","More like this","Add to cart","Made by TRENDINGWAVESCRAFT","Shop owned by Trending","TRENDINGWAVESCRAFT","6 months on Etsy","Trending","Free delivery","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/63337261/r/il/13c9f5/7553313300/il_765x1020.7553313300_4lb0.jpg"
"1780573743-53","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Ivory Cashmere Pashmina Shawl for Weddings, Luxurious Grey Paisley Embroidery","By TRENDINGWAVESCRAFT","From shop TRENDINGWAVESCRAFT","TRENDINGWAVESCRAFT","","Sale Price ₹ 6,160","6,160","4.2","12,320","Original Price ₹ 12,320","(50% off)","(5)","More like this","Add to cart","Made by TRENDINGWAVESCRAFT","Shop owned by Trending","TRENDINGWAVESCRAFT","6 months on Etsy","Trending","Free delivery","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/63337261/r/il/6e32a9/8129227049/il_765x1020.8129227049_owm0.jpg"
"1780573743-54","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Pure Pashmina Shawl  Natural undyed Jamawar | Sozni Hand Embroidered | Kashmir Pashmina | Fine Detailing","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","188,311","","","5.0","","","","(3)","More like this","Add to cart","Made by BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/60706692/r/il/162b21/7879273923/il_765x1020.7879273923_cdss.jpg"
