web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,price,price2,data8,data9,data10,data11,data12,data13,price3,price4,data14,data15,data16,data17,data18,price5,data19,data20,data21,data22,price6,data23,price7,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,price8,price9,image,image2
"1780486405-43","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","Weavers Villa","Men MS-987 Stole (pack of 1)","","","(1K)","+1","","70.","","FREE delivery Tomorrow, 4 Jun on your first order","Tomorrow, 4 Jun","","AED90.00","4.2","","00","","List: AED 90.00","","AED 70.00","","","","Add to cart","List:","","","AED","AED 90.00","","","4.2 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/81rZ+0zVWXL._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-44","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","EURKEA","Women's Scarf Pashmina Silky Soft Shawls Wraps Stole for Evening, Wedding and Gift","","","(740)","+16","","100.","","FREE delivery Tomorrow, 4 Jun","Tomorrow, 4 Jun","","","4.5","","62","","","","AED 100.62","","","","Add to cart","","","","AED","","","","4.5 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/61eunv+NXOL._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-45","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","TZ Promise","womens Solid Pashmina Pashmina Scarf","","","(1.2K)","+33","","69.","","FREE delivery Tomorrow, 4 Jun on your first order","Tomorrow, 4 Jun","","","4.6","","00","","","","AED 69.00","","","","Add to cart","","","","AED","","","","4.6 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/61yCRSviVtL._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-46","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","KASTWAVE","Reversible Paisley Pashmina Shawl Wrap Women, Woven Soft Silky Vintage Jacquard Pashmina Rave Scarf with Fringe for Evening, Wedding","","","(2)","","","52.","","FREE delivery Tomorrow, 4 Jun on your first order","Tomorrow, 4 Jun","","AED59.99","4.0","","27","","List: AED 59.99","","AED 52.27","","","","Add to cart","List:","","","AED","AED 59.99","","","4.0 out of 5 stars","Limited time deal","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/71p-HPN63yL._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-47","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","RIIQIICHY","womens Riiqiichy Pashmina Shawl","","","(17.1K)","+39","","51.","","FREE delivery Tomorrow, 4 Jun on your first order","Tomorrow, 4 Jun","","AED121.00","4.6","","60","","List: AED 121.00","","AED 51.60","","","","Add to cart","List:","","","AED","AED 121.00","","","4.6 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/61Z8jOagM5L._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-48","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","GERUNSI","womens Smfyr Classic","","","(207)","+6","","27.","","FREE delivery Tomorrow, 4 Jun on your first order","Tomorrow, 4 Jun","","","4.5","","00","","","","AED 27.00","","","","Add to cart","","","","AED","","","","4.5 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/81oI1QgOacL._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-49","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","Pashmoda","Women Rajwada Kashmiri Jamawar Woven Shawl, Kaani Jacquard Shawls, Stoles, Wraps, Luxury Pashmina Evening Wrap (Size: 40X80 Inches)","","","(54)","","","147.","","FREE delivery Fri, 5 Jun","Fri, 5 Jun","","","3.8","","00","","","","AED 147.00","","","","Add to cart","","","","AED","","","","3.8 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/71RcA-mW1KL._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-50","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","GERUNSI","womens Smfyr Classic","","","(207)","+6","","27.","","FREE delivery Tomorrow, 4 Jun on your first order","Tomorrow, 4 Jun","","AED31.00","4.5","","40","","Was: AED 31.00","","AED 27.40","","","","Add to cart","Was:","","","AED","AED 31.00","","","4.5 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/71M-F6hbBOL._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-51","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","SYOSI","Women's Classic Print Cashmere Feel Pashmina Wrap, 73x26 Inch Oversized Winter Scarf & Blanket - Monogram Shawl for Travel, Office, Gift","","","","","","56.","","FREE delivery Tomorrow, 4 Jun on your first order","Tomorrow, 4 Jun","","","","","55","","","","AED 56.55","","","","Add to cart","","","","AED","","","","","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/61EPVxjAEYL._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-52","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","KASTWAVE","Pashmina Scarf, Two-Tone Vintage Paisley Pashmina Scarf – Soft Lightweight Wrap & Shawl for Dresses, Weddings, Travel, All Seasons","","","","","","39.","","FREE delivery Tomorrow, 4 Jun on your first order","Tomorrow, 4 Jun","","AED49.99","","","99","","List: AED 49.99","","AED 39.99","","","","Add to cart","List:","","","AED","AED 49.99","","","","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/71q1L3579JL._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-53","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","","","Pashmoda","Women's Faux Pashmina Wool Jamawar Shawl, Luxury Kashmiri Pashmina Shawls, Stoles and Wraps (Size: 40X80 Inches)","","","(1)","","117.","","","FREE delivery Fri, 5 Jun","","","1.0","","10","","","","AED 117.10","","","","","Add to cart","Fri, 5 Jun","","","AED","","","","1.0 out of 5 stars","Sponsored","Let us know","You’re seeing this ad based on the product’s relevance to your search query.","","Price, product page","","Sponsored","",".","","https://m.media-amazon.com/images/I/71-qy4y8NcL._AC_UL960_FMwebp_QL65_.jpg"
"1780486405-54","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","","","KASHFAB","Cashmere scarf Made in Kashmir India (gift box) Merino Wool Silk Cashmere Blend Scarf Superfine Large Pashmina Unisex","","","(338)","","99.","","","FREE delivery Tomorrow, 4 Jun on your first order","","","4.4","","99","","+12 other colors/patterns","","AED 99.99","","","","","Add to cart","Tomorrow, 4 Jun","","","AED","","","","4.4 out of 5 stars","Sponsored","Let us know","You’re seeing this ad based on the product’s relevance to your search query.","","Price, product page","","Sponsored","",".","","https://m.media-amazon.com/images/I/71ulsHI4OvL._AC_UL960_FMwebp_QL65_.jpg"
"1780486405-55","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","","","KASTWAVE","Elegant Women's Cashmere Pashmina Shawls & Wraps - Soft Large Scarves for Fall & Winter, Perfect for Weddings, Evening Dress & Special Occasions","","","","","32.","","","FREE delivery Tomorrow, 4 Jun on your first order","","","","","88","","","","AED 32.88","","","","","Add to cart","Tomorrow, 4 Jun","","","AED","","","","","Sponsored","Let us know","You’re seeing this ad based on the product’s relevance to your search query.","","Price, product page","","Sponsored","",".","","https://m.media-amazon.com/images/I/71a4qQeJKGL._AC_UL960_FMwebp_QL65_.jpg"
"1780486405-56","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","","","KASTWAVE","Elegant Cashmere Shawl Wraps, Women's Open Front Cardigan Sweaters with Sleeves Outer, Soft Ruana Cape, Warm Shawls Cape for Travel Flight Cruises","","","(2)","","75.","","","FREE delivery Tomorrow, 4 Jun on your first order","","","4.5","","58","","+1 other color/pattern","","AED 75.58","","","","","Add to cart","Tomorrow, 4 Jun","","","AED","","","","4.5 out of 5 stars","Sponsored","Let us know","You’re seeing this ad based on the product’s relevance to your search query.","","Price, product page","","Sponsored","",".","","https://m.media-amazon.com/images/I/51h+0mlZgUL._AC_UL960_FMwebp_QL65_.jpg"
"1780486405-57","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","","","KASTWAVE","Luxurious Cashmere Feel Scarf for Women – Large Winter Warm Pashmina Shawl & Wrap with Tassels, Reversible Tartan Plaid Blanket Stole, Elegant Gift for Ladies","","","","","34.","","","FREE delivery Tomorrow, 4 Jun on your first order","","","","","53","","","","AED 34.53","","","","","Add to cart","Tomorrow, 4 Jun","","","AED","","","","","Sponsored","Let us know","You’re seeing this ad based on the product’s relevance to your search query.","","Price, product page","","Sponsored","",".","","https://m.media-amazon.com/images/I/717smLLCqeL._AC_UL960_FMwebp_QL65_.jpg"
"1780486405-58","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","","","ELECDON","Cashmere Texture Pashmina Style Scarf Shawl for Autumn Winter, Soft Heavy Weight Wrap Blanket Scarf for Women Men, 350g Thick Warm Fashion Accessory","","","(5)","","60.","","","FREE delivery Tomorrow, 4 Jun on your first order","","","3.9","","40","","","","AED 60.40","","","","","Add to cart","Tomorrow, 4 Jun","","","AED","","","","3.9 out of 5 stars","Sponsored","Let us know","You’re seeing this ad based on the product’s relevance to your search query.","","Price, product page","","Sponsored","",".","","https://m.media-amazon.com/images/I/81btcQjFEcL._AC_UL960_FMwebp_QL65_.jpg"
"1780486405-59","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","","","ChicAbode","Winter Scarf Cashmere Shawl, Women Men Fashion Geometric Pattern Warm Pashmina Scarf With Tassel Soft Long Wrap Stole","","","(5)","","54.","","","FREE delivery Tomorrow, 4 Jun on your first order","","","4.3","","99","","","","AED 54.99","","","","","Add to cart","Tomorrow, 4 Jun","","","AED","","","","4.3 out of 5 stars","Sponsored","Let us know","You’re seeing this ad based on the product’s relevance to your search query.","","Price, product page","","Sponsored","",".","","https://m.media-amazon.com/images/I/61mb7o+Q+jL._AC_UL960_FMwebp_QL65_.jpg"
"1780486405-60","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","","","FURTALK","Women's Soft Warm Winter Cashmere Feel Pashmina Shawl Wraps","","","(6)","","70.","","","FREE delivery 5 - 6 Jun","","","5.0","","00","","","","AED 70.00","","","","","Add to cart","5 - 6 Jun","","","AED","","","","5.0 out of 5 stars","Sponsored","Let us know","You’re seeing this ad based on the product’s relevance to your search query.","","Price, product page","","Sponsored","",".","","https://m.media-amazon.com/images/I/61sfmS2JD9L._AC_UL960_FMwebp_QL65_.jpg"
