web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,price,price2,data8,data9,data10,data11,data12,data13,price3,price4,data14,data15,data16,data17,data18,price5,data19,data20,data21,data22,price6,data23,price7,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,price8,price9,image,image2
"1780486405-12","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","Pashmoda","Men Jamawar Shawl, Authentic Kashmiri Luxury Pashmina Style Shawl, Stole, Medium Size for Gents, (Size 101X203 CM)","","","(576)","","","133.","","FREE delivery Wed, 17 Jun","Wed, 17 Jun","","","4.4","","00","","","","AED 133.00","","Ships from outside UAE","","Add to cart","","","","AED","","","","4.4 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/61QYG897lfL._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-13","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","Weavers Villa","Women's Faux Pashmina Silk Paisley Design Shawls, Stoles","","","(1.3K)","+4","","80.","","FREE delivery Tomorrow, 4 Jun on your first order","Tomorrow, 4 Jun","","","4.2","","00","","","","AED 80.00","","","","Add to cart","","","","AED","","","","4.2 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/81GSSizO1-L._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-14","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","Weavers Villa","Women's Faux Pashmina Silk Paisley Design Shawls, Stoles","","","(1.3K)","+4","","80.","","FREE delivery Tomorrow, 4 Jun on your first order","Tomorrow, 4 Jun","","","4.2","","00","","","","AED 80.00","","","","Add to cart","","","","AED","","","","4.2 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/71Ck+2SJ5TL._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-15","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","Pashmoda","Women Gulabkali Kashmiri Aari Embroidery Stole, Shawl, & Wrap, Luxury Pashmina Evening Wrap (Size: 28X80 Inches)","","","(140)","","","105.","","FREE delivery 10 - 12 Jun","10 - 12 Jun","","","4.3","","86","","","","AED 105.86","","Ships from outside UAE","","Add to cart","","","","AED","","","","4.3 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/611YQcrVOXL._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-16","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","KASTWAVE","Pashmina Scarf for Women, Silky Shawl Wrap for Evening Dress, Soft Blanket Poncho Cape","","","(10)","","","56.","","FREE delivery Tomorrow, 4 Jun on your first order","Tomorrow, 4 Jun","","AED69.90","5.0","","48","","List: AED 69.90","","AED 56.48","","","","Add to cart","List:","","","AED","AED 69.90","","","5.0 out of 5 stars","Limited time deal","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/81gpD2tm6gL._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-17","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","Pashmoda","Women's Kashmiri Mughal Shawl, Jacquard Shawl| Evening Wraps for Women | Women Shawl Wrap Scarf Pashmina Gifts","","","(453)","","","111.","","FREE delivery 15 - 17 Jun","15 - 17 Jun","","","4.1","","00","","","","AED 111.00","","Ships from outside UAE","","Add to cart","","","","AED","","","","4.1 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/71Tju8pb7oL._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-18","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","Pashtush","Women's Kashmiri Shawl, Faux Pashmina Design","","","(138)","+8 other colors/patterns","","106.","","FREE delivery 10 - 12 Jun","10 - 12 Jun","","","4.2","","00","","","","AED 106.00","","","","Add to cart","","","","AED","","","","4.2 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/71dxoLY8IEL._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-19","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","Pashmoda","Women's Faux Pashmina Wool Jamawar Shawl, Luxury Kashmiri Pashmina Shawls, Stoles and Wraps (Size: 40X80 Inches)","","","(5)","","","124.","","FREE delivery Fri, 5 Jun","Fri, 5 Jun","","","3.8","","99","","","","AED 124.99","","","","Add to cart","","","","AED","","","","3.8 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/81fiNyvh+KL._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-20","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","Lamca","Women Pashmina Shawls and Wraps Scarf Soft Silky Reversible Paisley Scarves Shawl for Women","","","(323)","+29 other colors/patterns","","35.","","FREE delivery Tomorrow, 4 Jun on your first order","Tomorrow, 4 Jun","","AED59.99","4.6","","99","","List: AED 59.99","","AED 35.99","","","","Add to cart","List:","","","AED","AED 59.99","","Best Seller","4.6 out of 5 stars","","","","","","Price, product page","","in Women's Pashminas","",".","","https://m.media-amazon.com/images/I/81DlR+YCD+L._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-21","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","","","Pashmoda","Women's Faux Pashmina Wool Jamawar Shawl, Luxury Kashmiri Pashmina Shawls, Stoles and Wraps (Size: 40X80 Inches)","","","(5)","","124.","","","FREE delivery Fri, 5 Jun","","","3.8","","99","","","","AED 124.99","","Only 1 left in stock - order soon.","","","Add to cart","Fri, 5 Jun","","","AED","","","","3.8 out of 5 stars","Sponsored","Let us know","You’re seeing this ad based on the product’s relevance to your search query.","","Price, product page","","Sponsored","",".","","https://m.media-amazon.com/images/I/81fiNyvh+KL._AC_UL960_FMwebp_QL65_.jpg"
